TITLE,YEAR,MOVIE_ID,ACTOR_NAME,CHARACTER,GENDER,AGE_AT_RELEASE,ACTOR_ID
"10,000 BC",2008,7840,Steven Strait,D’Leh,Man,22,54815
"10,000 BC",2008,7840,Camilla Belle,Evolet,Woman,22,38670
"10,000 BC",2008,7840,Cliff Curtis,Tic-Tic,Man,40,7248
"10,000 BC",2008,7840,Nathanael Baring,Baku,Man,18,54805
"10,000 BC",2008,7840,Mo Zinal,Ka’Ren,Man,Unknown,54806
"10,000 BC",2008,7840,Affif Ben Badra,Warlord,Man,48,54807
"10,000 BC",2008,7840,Mona Hammond,Old Mother,Woman,77,54808
"10,000 BC",2008,7840,Marco Khan,One-Eye,Man,Unknown,54809
"10,000 BC",2008,7840,Reece Ritchie,Moha,Man,22,54810
"10,000 BC",2008,7840,Joel Fry,Lu’Kibu,Man,24,54811
"10,000 BC",2008,7840,Joel Virgel,Nakudu,Man,Unknown,143647
"10,000 BC",2008,7840,Omar Sharif,Narrator (voice),Man,76,5004
"10,000 BC",2008,7840,Kristian Beazley,D’Leh’s Father,Man,Unknown,964350
"10,000 BC",2008,7840,Junior Oliphant,Tudu,Man,Unknown,964351
"10,000 BC",2008,7840,Louise Tu'u,Baku's Mother,Woman,Unknown,1080044
"10,000 BC",2008,7840,Jacob Renton,Young D’Leh,Man,Unknown,1080045
"10,000 BC",2008,7840,Grayson Hunt Urwin,Young Evolet,Woman,12,1080046
"10,000 BC",2008,7840,Farouk Valley-Omar,High Priest,Man,Unknown,953772
"10,000 BC",2008,7840,Boubacar Babiane,Quina,Man,Unknown,1080047
"10,000 BC",2008,7840,Joe Vaz,Chief of Guards,Man,36,137463
12 Strong,2018,429351,Chris Hemsworth,Mitch Nelson,Man,35,74568
12 Strong,2018,429351,Michael Shannon,Hal Spencer,Man,44,335
12 Strong,2018,429351,Michael Peña,Sam Diller,Man,42,454
12 Strong,2018,429351,Navid Negahban,General Dostum,Man,50,103330
12 Strong,2018,429351,Trevante Rhodes,Ben Milo,Man,28,1650301
12 Strong,2018,429351,Geoff Stults,Sean Coffers,Man,41,22128
12 Strong,2018,429351,Thad Luckinbill,Vern Michaels,Man,43,60076
12 Strong,2018,429351,Austin Stowell,Fred Falls,Man,34,970216
12 Strong,2018,429351,Ben O'Toole,Scott Black,Man,27,1394235
12 Strong,2018,429351,Jack Kesy,Charles Jones,Man,32,1292258
12 Strong,2018,429351,Fahim Fazli,Commander Khaled,Man,52,109669
12 Strong,2018,429351,Austin Hébert,Pat Essex,Man,Unknown,1367847
12 Strong,2018,429351,Kenny Sheard,Bill Bennett,Man,Unknown,1493726
12 Strong,2018,429351,Elsa Pataky,Jean Nelson,Woman,42,73269
12 Strong,2018,429351,Yousuf Azami,Captain,Man,Unknown,123102
12 Strong,2018,429351,Taylor Sheridan,Brian,Man,48,1215399
12 Strong,2018,429351,William Fichtner,Colonel Mulholland,Man,62,886
12 Strong,2018,429351,Rob Riggle,Max Bowers,Man,48,71403
12 Strong,2018,429351,Yasmine Aker,Teacher,Woman,Unknown,1557161
12 Strong,2018,429351,Marie Wagenman,Maddy Nelson,Woman,Unknown,1912057
12 Years a Slave,2013,76203,Chiwetel Ejiofor,Solomon Northup,Man,36,5294
12 Years a Slave,2013,76203,Michael Fassbender,Edwin Epps,Man,36,17288
12 Years a Slave,2013,76203,Lupita Nyong'o,Patsey,Woman,30,1267329
12 Years a Slave,2013,76203,Benedict Cumberbatch,William Ford,Man,37,71580
