ID,TITLE,YEAR,MOVIE_ID,GENRES,OVERVIEW,RUNTIME [MIN],RATING,BUDGET,REVENUE,DIRECTOR,DIRECTOR_GENDER
0,"10,000 BC",2008,7840,"Adventure, Action, Drama, Fantasy",A prehistoric epic that follows a young mammoth hunter's journey through uncharted territory to secure the future of his tribe.,109,5.501,105000000,269784201,Roland Emmerich,Man
1,12 Strong,2018,429351,"War, Drama, Action, History",A team of special forces head into Afghanistan in the aftermath of the September 11th attacks in an attempt to dismantle the Taliban.,130,6.347,35000000,67450815,Nicolai Fuglsig,Man
2,12 Years a Slave,2013,76203,"Drama, History","In the pre-Civil War United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery. Facing cruelty as well as unexpected kindnesses Solomon struggles not only to stay alive, but to retain his dignity. In the twelfth year of his unforgettable odyssey, Solomon’s chance meeting with a Canadian abolitionist will forever alter his life.",134,7.936,20000000,187000000,Steve McQueen,Man
3,127 Hours,2010,44115,"Adventure, Drama, Thriller",The true story of mountain climber Aron Ralston's remarkable adventure to save himself after a fallen boulder crashes on his arm and traps him in an isolated canyon in Utah.,94,7.085,18000000,35700000,Danny Boyle,Man
4,1408,2007,3021,"Horror, Mystery","A man who specializes in debunking paranormal occurrences checks into the fabled room 1408 in the Dolphin Hotel. Soon after settling in, he confronts genuine terror.",104,6.695,25000000,133000000,Mikael Håfström,Man
5,15 Minutes,2001,2749,"Action, Crime, Thriller","When Eastern European criminals Oleg and Emil come to New York City to pick up their share of a heist score, Oleg steals a video camera and starts filming their activities, both legal and illegal. When they learn how the American media circus can make a remorseless killer look like the victim and make them rich, they target media-savvy NYPD Homicide Detective Eddie Flemming and media-naive FDNY Fire Marshal Jordy Warsaw, the cops investigating their murder and torching of their former criminal partner, filming everything to sell to the local tabloid TV show ""Top Story.""",120,5.895,60000000,56359980,John Herzfeld,Man
6,16 Blocks,2006,2207,"Action, Adventure, Crime, Thriller","An aging cop is assigned the ordinary task of escorting a fast-talking witness from police custody to a courthouse, but they find themselves running the gauntlet as other forces try to prevent them from getting there.",105,6.448,55000000,65664721,Richard Donner,Man
7,17 Again,2009,16996,"Comedy, Fantasy, Drama, Romance","On the brink of a midlife crisis, 30-something Mike O'Donnell wishes he could have a ""do-over."" And that's exactly what he gets when he wakes up one morning to find he's 17 years old again. With his adult mind stuck inside the body of a teenager, Mike actually has the chance to reverse some decisions he wishes he'd never made. But maybe they weren't so bad after all.",102,6.313,20000000,136300000,Burr Steers,Man
8,1917,2019,530915,"War, History, Drama, Action","At the height of the First World War, two young British soldiers must cross enemy territory and deliver a message that will stop a deadly attack on hundreds of soldiers.",119,7.986,100000000,446064352,Sam Mendes,Man
9,2 Fast 2 Furious,2003,584,"Action, Crime, Thriller","It's a major double-cross when former police officer Brian O'Conner teams up with his ex-con buddy Roman Pearce to transport a shipment of ""dirty"" money for shady Miami-based import-export dealer Carter Verone. But the guys are actually working with undercover agent Monica Fuentes to bring Verone down.",107,6.511,76000000,236350661,John Singleton,Man
