ID,YEAR,TITLE
0,2000,Mission: Impossible II
1,2000,Gladiator
2,2000,Cast Away
3,2000,What Women Want
4,2000,Dinosaur
5,2000,How the Grinch Stole Christmas
6,2000,Meet the Parents
7,2000,The Perfect Storm
8,2000,X-Men
9,2000,What Lies Beneath
10,2000,Scary Movie
11,2000,Charlie's Angels
12,2000,Unbreakable
13,2000,Gone in 60 Seconds
14,2000,Chicken Run
15,2000,Vertical Limit
16,2000,The Patriot
17,2000,"Crouching Tiger, Hidden Dragon"
18,2000,Miss Congeniality
19,2000,Traffic
20,2000,Hollow Man
21,2000,102 Dalmatians
22,2000,Big Momma's House
23,2000,The Emperor's New Groove
24,2000,Nutty Professor II: The Klumps
25,2000,Scream 3
26,2000,Chocolat
27,2000,"Me, Myself & Irene"
28,2000,The Beach
29,2000,Erin Brockovich
30,2000,Remember the Titans
31,2000,Pokémon the Movie 2000
32,2000,Space Cowboys
33,2000,U-571
34,2000,The Family Man
35,2000,Road Trip
36,2000,Coyote Ugly
37,2000,Final Destination
38,2000,The Exorcist 2000 Director's Cut
39,2000,Mission to Mars
40,2000,The Kid
41,2000,Billy Elliot
42,2000,Shaft
43,2000,The Whole Nine Yards
44,2000,The Cell
45,2000,Rugrats in Paris
46,2000,Shanghai Noon
47,2000,The Tigger Movie
48,2000,The 6th Day
49,2000,Romeo Must Die
50,2000,Fantasia 2000
51,2000,Autumn in New York
52,2000,Bring It On
53,2000,Bedazzled
54,2000,Snatch
55,2000,Men of Honor
56,2000,Finding Forrester
57,2000,The Road to El Dorado
58,2000,"Dude, Where's My Car?"
59,2000,"O Brother, Where Art Thou?"
60,2000,Rules of Engagement
61,2000,Frequency
62,2000,Thirteen Days
63,2000,Proof of Life
64,2000,Snow Day
65,2000,28 Days
66,2000,Taxi 2
67,2000,Keeping the Faith
68,2000,Next Friday
69,2000,The Flintstones in Viva Rock Vegas
70,2000,Little Nicky
71,2000,Pay It Forward
72,2000,Bounce
73,2000,Pitch Black
74,2000,Hanging Up
75,2000,The Skulls
76,2000,The Replacements
77,2000,Book of Shadows: Blair Witch 2
78,2000,Almost Famous
79,2000,The Watcher
80,2000,High Fidelity
81,2000,Dracula 2000
82,2000,The Gift
83,2000,Where the Heart Is
84,2000,Bless the Child
85,2000,The Art of War
86,2000,Dancer in the Dark
87,2000,The Legend of Bagger Vance
88,2000,Urban Legends: Final Cut
89,2000,The Original Kings of Comedy
90,2000,Titan A.E.
91,2000,Return to Me
92,2000,My Dog Skip
93,2000,The Adventures of Rocky & Bullwinkle
94,2000,American Psycho
95,2000,Dungeons & Dragons
96,2000,Red Planet
97,2000,Wonder Boys
98,2000,Reindeer Games
99,2000,Lost Souls
100,2000,Small Time Crooks
101,2000,Battlefield Earth
102,2000,Nurse Betty
103,2000,Boiler Room
104,2000,The Little Vampire
105,2000,Love & Basketball
106,2000,Cirque du Soleil: Journey of Man
107,2000,Center Stage
108,2000,Saving Grace
109,2000,Boys and Girls
110,2000,Down to You
111,2000,The Next Best Thing
112,2000,Dr. T & the Women
113,2000,The Contender
114,2000,Michael Jordan to the Max
115,2000,Best in Show
116,2000,Thomas and the Magic Railroad
117,2000,Get Carter
118,2000,The Ninth Gate
119,2000,Loser
120,2001,Harry Potter and the Sorcerer's Stone
121,2001,The Lord of the Rings: The Fellowship of the Ring
122,2001,"Monsters, Inc."
123,2001,Shrek
124,2001,Ocean's Eleven
125,2001,Pearl Harbor
126,2001,The Mummy Returns
127,2001,Jurassic Park III
128,2001,Planet of the Apes
129,2001,Hannibal
130,2001,Rush Hour 2
131,2001,A Beautiful Mind
132,2001,American Pie 2
133,2001,Bridget Jones's Diary
134,2001,Spirited Away
135,2001,Lara Croft: Tomb Raider
136,2001,A.I. Artificial Intelligence
137,2001,The Others
138,2001,The Fast and the Furious
139,2001,Vanilla Sky
140,2001,Cats & Dogs
141,2001,Atlantis: The Lost Empire
142,2001,Moulin Rouge!
143,2001,Dr. Dolittle 2
144,2001,Amélie
145,2001,Black Hawk Down
146,2001,The Princess Diaries
147,2001,Spy Kids
148,2001,The Mexican
149,2001,Swordfish
150,2001,Spy Game
151,2001,Legally Blonde
152,2001,Scary Movie 2
153,2001,Shallow Hal
154,2001,America's Sweethearts
155,2001,Save the Last Dance
156,2001,A Knight's Tale
157,2001,The Score
158,2001,Along Came a Spider
159,2001,Training Day
160,2001,Jimmy Neutron: Boy Genius
161,2001,Don't Say a Word
162,2001,Evolution
163,2001,I Am Sam
164,2001,Enemy at the Gates
165,2001,The Wedding Planner
166,2001,Behind Enemy Lines
167,2001,Gosford Park
168,2001,Ali
169,2001,Rat Race
170,2001,Final Fantasy: The Spirits Within
171,2001,The Animal
172,2001,Blow
173,2001,Exit Wounds
174,2001,Serendipity
175,2001,Kate & Leopold
176,2001,Manitou's Shoe
177,2001,From Hell
178,2001,The One
179,2001,The Royal Tenenbaums
180,2001,Down to Earth
181,2001,Brotherhood of the Wolf
182,2001,Thir13en Ghosts
183,2001,Pokémon 3 the Movie: Spell of the Unown
184,2001,Bandits
185,2001,Not Another Teen Movie
186,2001,Sweet November
187,2001,K-PAX
188,2001,Kiss of the Dragon
189,2001,Captain Corelli's Mandolin
190,2001,Zoolander
191,2001,The Crimson Rivers
192,2001,Jeepers Creepers
193,2001,Heartbreakers
194,2001,15 Minutes
195,2001,Driven
196,2001,Domestic Disturbance
197,2001,The Closet
198,2001,Monster's Ball
199,2001,Recess: School's Out
200,2001,Hardball
201,2001,In the Bedroom
202,2001,See Spot Run
203,2001,Shaolin Soccer
204,2001,Black Knight
205,2001,Memento
206,2001,Crocodile Dundee in Los Angeles
207,2001,Haunted Castle
208,2001,Someone Like You
209,2001,What's the Worst That Could Happen?
210,2001,The Majestic
211,2001,Valentine
212,2001,Joy Ride
213,2001,Riding in Cars with Boys
214,2001,Original Sin
215,2001,Jay and Silent Bob Strike Back
216,2001,Y tu mamá también
217,2001,The Musketeer
218,2001,Double Take
219,2001,How High
220,2001,Beauty and the Beast 2000 IMAX Release
221,2001,Joe Dirt
222,2001,Hearts in Atlantis
223,2001,Monsoon Wedding
224,2001,Angel Eyes
225,2001,The Pledge
226,2001,Baby Boy
227,2001,Heist
228,2001,The Tailor of Panama
229,2001,The Brothers
230,2001,The Last Castle
231,2001,Saving Silverman
232,2001,Corky Romano
233,2001,The Shipping News
234,2001,Joe Somebody
235,2001,Nowhere in Africa
236,2001,Tanguy
237,2001,Life as a House
238,2001,The Glass House
239,2001,Tomcats
240,2002,The Lord of the Rings: The Two Towers
241,2002,Harry Potter and the Chamber of Secrets
242,2002,Spider-Man
243,2002,Star Wars: Episode II - Attack of the Clones
244,2002,Men in Black II
245,2002,Die Another Day
246,2002,Signs
247,2002,Ice Age
248,2002,My Big Fat Greek Wedding
249,2002,Minority Report
250,2002,Catch Me If You Can
251,2002,Chicago
252,2002,Austin Powers in Goldmember
253,2002,xXx
254,2002,Scooby-Doo
255,2002,Lilo & Stitch
256,2002,The Ring
257,2002,8 Mile
258,2002,The Bourne Identity
259,2002,Red Dragon
260,2002,Two Weeks Notice
261,2002,Panic Room
262,2002,The Sum of All Fears
263,2002,Gangs of New York
264,2002,Road to Perdition
265,2002,Sweet Home Alabama
266,2002,The Scorpion King
267,2002,Hero
268,2002,The Santa Clause 2
269,2002,Mr. Deeds
270,2002,Stuart Little 2
271,2002,Blade II
272,2002,Maid in Manhattan
273,2002,About a Boy
274,2002,Space Station 3D
275,2002,The Time Machine
276,2002,Spirit: Stallion of the Cimarron
277,2002,The Pianist
278,2002,Spy Kids 2: Island of Lost Dreams
279,2002,Unfaithful
280,2002,Snow Dogs
281,2002,We Were Soldiers
282,2002,Insomnia
283,2002,Return to Never Land
284,2002,Treasure Planet
285,2002,The Hours
286,2002,Asterix & Obelix: Mission Cleopatra
287,2002,About Schmidt
288,2002,The Tuxedo
289,2002,Resident Evil
290,2002,John Q
291,2002,40 Days and 40 Nights
292,2002,Changing Lanes
293,2002,Reign of Fire
294,2002,The Rookie
295,2002,Jackass: The Movie
296,2002,Collateral Damage
297,2002,Showtime
298,2002,Windtalkers
299,2002,Barbershop
300,2002,Bend It Like Beckham
301,2002,The Count of Monte Cristo
302,2002,Divine Secrets of the Ya-Ya Sisterhood
303,2002,28 Days Later
304,2002,E.T. the Extra-Terrestrial 20th Anniversary
305,2002,The Sweetest Thing
306,2002,Ghost Ship
307,2002,Star Trek: Nemesis
308,2002,Bad Company
309,2002,K-19: The Widowmaker
310,2002,High Crimes
311,2002,Like Mike
312,2002,Crossroads
313,2002,The Wild Thornberrys
314,2002,Bowling for Columbine
315,2002,Drumline
316,2002,Murder by Numbers
317,2002,Frida
318,2002,The Mothman Prophecies
319,2002,Analyze That
320,2002,The Hot Chick
321,2002,The Cat Returns
322,2002,Big Fat Liar
323,2002,Dragonfly
324,2002,One Hour Photo
325,2002,Blue Crush
326,2002,Enough
327,2002,I Spy
328,2002,Talk to Her 2002 Re-release
329,2002,A Walk to Remember
330,2002,Eight Legged Freaks
331,2002,Queen of the Damned
332,2002,The Transporter
333,2002,The Master of Disguise
334,2002,Orange County
