ID,TITLE,YEAR,SOURCE,SOURCE2,SCREENPLAY_SOURCE
0,"10,000 BC",2008,popular,box_office,simply
1,12 Strong,2018,popular,box_office,slug
2,12 Years a Slave,2013,"critics, fan_favs, popular","award_winners, best_movies_lists, box_office, journal_list, popular_movies_lists",slug
3,127 Hours,2010,"fan_favs, popular","best_movies_lists, box_office",slug
4,1408,2007,popular,box_office,slug
5,15 Minutes,2001,popular,box_office,imsdb
6,16 Blocks,2006,popular,box_office,slug
7,17 Again,2009,popular,"box_office, popular_movies_lists",imsdb
8,1917,2019,"critics, fan_favs, popular","award_winners, best_movies_lists, box_office, filmmakers_choice, popular_movies_lists",slug
9,2 Fast 2 Furious,2003,"fan_favs, popular","best_movies_lists, box_office",slug
10,2012,2009,popular,box_office,imsdb
11,20th Century Girl,2022,fan_favs,best_movies_lists,slug
12,20th Century Women,2016,"critics, fan_favs","best_movies_lists, filmmakers_choice, journal_list, women_directors",slug
13,21 Jump Street,2012,"fan_favs, popular","best_movies_lists, box_office, popular_movies_lists",slug
14,22 Jump Street,2014,"fan_favs, popular","best_movies_lists, box_office, popular_movies_lists",slug
15,25th Hour,2002,"critics, fan_favs","best_movies_lists, journal_list",savant
16,28 Days,2000,"fan_favs, popular","box_office, women_directors",simply
17,28 Days Later,2002,"critics, fan_favs, popular","best_movies_lists, box_office, journal_list, popular_movies_lists",slug
18,28 Weeks Later,2007,popular,box_office,slug
19,30 Days of Night,2007,popular,box_office,simply
20,42,2013,"fan_favs, popular","best_movies_lists, box_office",imsdb
21,47 Ronin,2013,popular,box_office,simply
22,500 Days of Summer,2009,popular,box_office,slug
23,8 Mile,2002,popular,box_office,slug
24,9,2009,popular,box_office,imsdb
25,99 Homes,2014,critics,filmmakers_choice,savant
26,A Beautiful Day in the Neighborhood,2019,"critics, fan_favs, popular","box_office, filmmakers_choice, journal_list, women_directors",slug
27,A Beautiful Mind,2001,"critics, fan_favs, popular","award_winners, best_movies_lists, box_office, journal_list",slug
28,A Christmas Carol,2009,popular,box_office,savant
29,A Complete Unknown,2024,"critics, popular","box_office, filmmakers_choice, popular_movies_lists",slug
30,A Fantastic Woman,2017,fan_favs,best_movies_lists,slug
31,A Good Year,2006,popular,box_office,simply
32,A Haunting in Venice,2023,popular,box_office,slug
33,A Hidden Life,2019,"critics, fan_favs","best_movies_lists, journal_list",slug
34,A History of Violence,2005,"critics, popular","box_office, journal_list",slug
35,A Man Called Otto,2022,popular,box_office,slug
36,A Monster Calls,2016,critics,filmmakers_choice,slug
37,A Most Violent Year,2014,critics,filmmakers_choice,slug
38,A Nightmare on Elm Street,2010,popular,box_office,imsdb
39,A Quiet Place,2018,"critics, popular","box_office, filmmakers_choice, journal_list, popular_movies_lists",slug
40,A Real Pain,2024,"fan_favs, popular","best_movies_lists, box_office, popular_movies_lists",slug
41,A Separation,2011,"critics, fan_favs","best_movies_lists, filmmakers_choice, journal_list",slug
42,A Serious Man,2009,"critics, fan_favs","best_movies_lists, filmmakers_choice, journal_list",slug
43,A Simple Favor,2018,popular,box_office,slug
44,A Star Is Born,2018,"critics, fan_favs, popular","best_movies_lists, box_office, filmmakers_choice, popular_movies_lists",slug
45,A Walk to Remember,2002,"fan_favs, popular","best_movies_lists, box_office, women_directors",imsdb
46,Abduction,2011,popular,box_office,savant
47,About Schmidt,2002,"critics, fan_favs, popular","best_movies_lists, box_office, journal_list",savant
48,Abraham Lincoln: Vampire Hunter,2012,popular,box_office,slug
49,Ad Astra,2019,"critics, popular","box_office, journal_list",slug
50,Adaptation.,2002,"critics, fan_favs, popular","best_movies_lists, box_office, filmmakers_choice, journal_list",slug
51,Adventureland,2009,fan_favs,"best_movies_lists, women_directors",simply
52,After.Life,2009,fan_favs,women_directors,imsdb
53,Aftershock,2010,popular,box_office,savant
54,Aftersun,2022,"critics, fan_favs, popular","best_movies_lists, journal_list, popular_movies_lists, women_directors",slug
55,Air,2023,popular,box_office,slug
56,Aladdin,2019,popular,"box_office, popular_movies_lists",imsdb
57,Alfie,2004,"critics, popular","box_office, filmmakers_choice",simply
58,Ali,2001,"fan_favs, popular","best_movies_lists, box_office",slug
59,Alice in Wonderland,2010,"critics, fan_favs, popular","box_office, filmmakers_choice, popular_movies_lists, women_directors",savant
60,Alien vs. Predator,2004,popular,box_office,imsdb
61,Alien: Covenant,2017,popular,box_office,slug
62,All Quiet on the Western Front,2022,"critics, fan_favs, popular","award_winners, best_movies_lists, popular_movies_lists",slug
63,All of Us Strangers,2023,"critics, fan_favs","best_movies_lists, journal_list",slug
64,All the Money in the World,2017,popular,box_office,slug
65,Almost Famous,2000,"critics, fan_favs, popular","best_movies_lists, box_office, journal_list, women_directors",slug
66,Ambulance,2022,popular,box_office,slug
67,American Fiction,2023,fan_favs,best_movies_lists,slug
68,American Gangster,2007,"fan_favs, popular","best_movies_lists, box_office",imsdb
69,American Hustle,2013,"fan_favs, popular","best_movies_lists, box_office, popular_movies_lists",slug
70,American Psycho,2000,"critics, fan_favs, popular","best_movies_lists, box_office, journal_list, popular_movies_lists, women_directors",slug
71,American Sniper,2014,"fan_favs, popular","best_movies_lists, box_office",slug
72,American Splendor,2003,"critics, fan_favs","journal_list, women_directors",imsdb
73,Amour,2012,"critics, fan_favs","award_winners, best_movies_lists, journal_list",slug
74,Amsterdam,2022,popular,box_office,slug
75,Amélie,2001,"critics, fan_favs, popular","best_movies_lists, box_office, journal_list, popular_movies_lists, women_directors",slug
76,An Education,2009,fan_favs,"best_movies_lists, women_directors",imsdb
77,Analyze That,2002,popular,box_office,slug
78,Anatomy of a Fall,2023,"critics, fan_favs, popular","award_winners, best_movies_lists, box_office, journal_list, women_directors",slug
79,Anchorman,2004,critics,journal_list,savant
80,Anchorman: The Legend of Ron Burgundy,2004,"critics, fan_favs, popular","best_movies_lists, box_office, journal_list, popular_movies_lists",slug
81,Angel Eyes,2001,popular,box_office,slug
82,Angels & Demons,2009,popular,box_office,imsdb
83,Anger Management,2003,"critics, popular","box_office, filmmakers_choice",slug
84,Anna Karenina,2012,"critics, popular","box_office, filmmakers_choice",imsdb
85,Annabelle,2014,popular,box_office,slug
86,Annette,2021,"critics, fan_favs","best_movies_lists, journal_list",slug
87,Annihilation,2018,"critics, fan_favs, popular","best_movies_lists, journal_list, popular_movies_lists",slug
88,Anomalisa,2015,critics,"filmmakers_choice, journal_list",savant
89,Anora,2024,"critics, fan_favs, popular","award_winners, best_movies_lists, box_office, journal_list, popular_movies_lists",slug
90,Another Year,2010,"critics, fan_favs","best_movies_lists, filmmakers_choice, journal_list",slug
91,Argo,2012,"critics, fan_favs, popular","award_winners, best_movies_lists, box_office, journal_list",slug
92,Arrival,2016,"critics, fan_favs, popular","best_movies_lists, box_office, filmmakers_choice, journal_list, popular_movies_lists",slug
93,Arthur,2011,"critics, popular","box_office, filmmakers_choice",imsdb
94,Asteroid City,2023,"critics, popular","box_office, journal_list, popular_movies_lists",slug
95,Atomic Blonde,2017,"fan_favs, popular","box_office, popular_movies_lists, women_directors",slug
