ID,TITLE,CHARACTER,GENDER,AGE_AT_RELEASE,DIALOGUES_COUNT,DIALOGUES_PERCENT
0,"10,000 BC",Dleh,Man,22,85,35.56
1,"10,000 BC",Tictic,Man,40,45,18.83
2,"10,000 BC",Nakudu,Man,Unknown,31,12.97
3,"10,000 BC",Baku,Man,18,23,9.62
4,"10,000 BC",Evolet,Woman,22,19,7.95
5,"10,000 BC",Karen,Man,Unknown,13,5.44
6,"10,000 BC",Narrator,Man,76,7,2.93
7,"10,000 BC",Old mother,Woman,77,5,2.09
8,12 Strong,Nelson,Man,35,275,36.14
9,12 Strong,Dostum,Man,50,74,9.72
10,12 Strong,Diller,Man,42,58,7.62
11,12 Strong,Spencer,Man,44,55,7.23
12,12 Strong,Coffers,Man,41,37,4.86
13,12 Strong,Milo,Man,28,29,3.81
14,12 Strong,Nelson into radio,Woman,42,20,2.63
15,12 Strong,Michaels,Man,43,19,2.5
16,12 Strong,Jean,Man,Unknown,17,2.23
17,12 Strong,Essex,Man,Unknown,16,2.1
18,12 Years a Slave,Solomon,Man,36,142,28.17
19,12 Years a Slave,Epps,Man,36,53,10.52
20,12 Years a Slave,Bass,Man,50,25,4.96
21,12 Years a Slave,Celeste,Woman,Unknown,23,4.56
22,12 Years a Slave,Ford,Man,37,22,4.37
23,12 Years a Slave,Tibeats,Man,29,16,3.17
24,12 Years a Slave,Mistress epps,Woman,39,16,3.17
25,12 Years a Slave,Brown,Man,36,16,3.17
26,12 Years a Slave,Hamilton,Man,31,16,3.17
27,12 Years a Slave,Freeman,Man,46,15,2.98
28,12 Years a Slave,Patsey,Woman,30,11,2.18
29,127 Hours,Aron,Man,32,200,61.73
30,127 Hours,Kristi,Woman,27,32,9.88
31,127 Hours,Rana,Woman,28,28,8.64
32,127 Hours,Megan,Woman,27,25,7.72
33,127 Hours,Aron the host,Man,Unknown,9,2.78
34,1408,Mike,Man,41,213,47.12
35,1408,Olin,Man,59,40,8.85
36,1408,Lily,Woman,Unknown,24,5.31
37,1408,Lily over videolink,Woman,Unknown,17,3.76
38,1408,Sam,Man,54,10,2.21
39,16 Blocks,Jack,Man,51,179,38.49
40,16 Blocks,Eddie,Man,33,136,29.25
41,16 Blocks,Nugent,Man,53,39,8.39
42,16 Blocks,Sheehan,Man,63,10,2.15
43,17 Again,Mike,Man,22,283,35.64
44,17 Again,Ed,Man,Unknown,125,15.74
45,17 Again,Alex,Man,20,70,8.82
46,17 Again,Maggie,Woman,24,42,5.29
47,17 Again,Julie,Woman,Unknown,36,4.53
48,17 Again,Stan,Man,22,24,3.02
49,17 Again,Coach harvey,Man,43,20,2.52
50,17 Again,Samantha,Woman,27,18,2.27
51,1917,Schofield,Man,27,176,34.31
52,1917,Blake,Man,22,134,26.12
53,1917,Erinmore,Man,59,19,3.7
54,1917,Lieutenant leslie,Man,43,18,3.51
55,1917,Private cooke,Man,24,15,2.92
56,1917,Captain smith,Man,56,12,2.34
57,1917,Private rossi,Man,Unknown,12,2.34
58,1917,Sergeant sanders,Man,41,11,2.14
59,2 Fast 2 Furious,Brian,Man,30,114,32.11
60,2 Fast 2 Furious,Pearce,Man,25,63,17.75
61,2 Fast 2 Furious,Bilkins,Man,53,48,13.52
62,2 Fast 2 Furious,Verone,Man,28,30,8.45
63,2 Fast 2 Furious,Edwin,Man,Unknown,23,6.48
64,2 Fast 2 Furious,Clemente,Man,Unknown,23,6.48
65,2 Fast 2 Furious,Agent markham,Man,50,8,2.25
66,2012,Jackson,Man,43,123,14.87
67,2012,Adrian,Man,32,108,13.06
68,2012,Kate,Woman,37,58,7.01
69,2012,Anheuser,Man,49,55,6.65
70,2012,Gordon,Man,43,35,4.23
71,2012,Yuri,Man,56,33,3.99
72,2012,Noah,Man,13,32,3.87
73,2012,Laura,Woman,37,30,3.63
74,2012,Sasha,Man,32,27,3.26
75,2012,Lilly,Woman,9,26,3.14
76,2012,President wilson,Man,63,25,3.02
77,2012,Charlie frost,Man,48,23,2.78
78,2012,Harry,Man,Unknown,18,2.18
79,20th Century Women,Dorothea,Woman,58,2,25.0
80,20th Century Women,Julie,Woman,18,1,12.5
81,20th Century Women,Abbie,Woman,33,1,12.5
82,20th Century Women,Jamie,Man,16,1,12.5
83,21 Jump Street,Schmidt,Man,29,273,31.74
84,21 Jump Street,Jenko,Man,32,251,29.19
85,21 Jump Street,Eric,Man,27,53,6.16
86,21 Jump Street,Molly,Woman,23,46,5.35
87,21 Jump Street,Zack,Man,21,33,3.84
88,21 Jump Street,Captain dickson,Man,43,28,3.26
89,21 Jump Street,Mr walters,Man,42,18,2.09
90,22 Jump Street,Schmidt,Man,31,234,36.68
91,22 Jump Street,Jenko,Man,34,164,25.71
92,22 Jump Street,Zook,Man,28,50,7.84
93,22 Jump Street,Maya,Woman,28,39,6.11
94,22 Jump Street,Dickson,Man,45,31,4.86
95,22 Jump Street,Alan yang,Man,29,21,3.29
96,22 Jump Street,Mercedes,Woman,30,20,3.13
97,22 Jump Street,Mike yang,Man,29,13,2.04
98,25th Hour,Monty,Man,33,242,28.54
99,25th Hour,Jakob,Man,Unknown,128,15.09
100,25th Hour,Mary,Woman,20,59,6.96
101,25th Hour,Naturelle,Woman,23,54,6.37
102,25th Hour,Kostya,Man,35,49,5.78
103,25th Hour,Mr brogan,Man,56,41,4.83
104,25th Hour,Uncle blue,Man,44,30,3.54
105,28 Days Later,Selena,Woman,26,109,24.33
106,28 Days Later,Jim,Man,26,99,22.1
107,28 Days Later,Frank,Man,47,67,14.96
108,28 Days Later,Henry,Man,38,42,9.38
109,28 Days Later,Hannah,Woman,16,30,6.7
110,28 Days Later,Mitchell,Man,Unknown,23,5.13
111,28 Days Later,Jones,Man,22,15,3.35
112,28 Days Later,Mark,Man,28,14,3.12
113,28 Days Later,Scientist,Man,39,13,2.9
114,28 Weeks Later,Doyle,Man,36,37,20.22
115,28 Weeks Later,Scarlet,Woman,28,30,16.39
116,28 Weeks Later,Don,Man,Unknown,19,10.38
117,28 Weeks Later,Tammy,Woman,18,17,9.29
118,28 Weeks Later,Andy,Man,13,16,8.74
119,28 Weeks Later,General stone,Man,35,13,7.1
120,28 Weeks Later,Flynn,Man,44,11,6.01
121,28 Weeks Later,Alice,Woman,35,9,4.92
122,28 Weeks Later,Soldier,Woman,Unknown,8,4.37
123,28 Weeks Later,Soldier,Man,36,8,4.37
124,47 Ronin,Oishi,Man,Unknown,83,25.23
125,47 Ronin,Lord kira,Man,40,46,13.98
126,47 Ronin,Lord asano,Man,68,34,10.33
127,47 Ronin,Minoru,Man,Unknown,26,7.9
128,47 Ronin,Mika,Woman,32,16,4.86
129,47 Ronin,Chikara,Man,29,12,3.65
130,47 Ronin,Shogun,Man,63,12,3.65
131,47 Ronin,Shoguns adjutant,Man,26,7,2.13
132,47 Ronin,Kapitan,Man,49,7,2.13
133,47 Ronin,Hanjo,Man,Unknown,7,2.13
134,47 Ronin,Hisae,Woman,Unknown,7,2.13
135,500 Days of Summer,Tom,Man,28,409,46.11
136,500 Days of Summer,Summer,Woman,29,214,24.13
137,500 Days of Summer,Mckenzie,Man,31,65,7.33
138,500 Days of Summer,Paul,Man,29,43,4.85
139,500 Days of Summer,Rachel,Woman,12,38,4.28
140,500 Days of Summer,Vance,Man,47,19,2.14
141,8 Mile,Jimmy,Man,30,279,36.81
142,8 Mile,Alex,Woman,25,61,8.05
143,8 Mile,Wink,Man,27,54,7.12
144,8 Mile,Future,Man,28,47,6.2
145,8 Mile,Chedder bob,Man,26,44,5.8
146,8 Mile,Sol,Man,24,43,5.67
147,8 Mile,Stephanie,Woman,49,41,5.41
148,8 Mile,Dj iz,Man,23,19,2.51
149,9,Scientist,Man,79,5,8.06
150,9,Radio,Man,41,3,4.84
151,9,Dictator,Man,47,2,3.23
152,99 Homes,Dennis,Man,32,257,33.12
153,99 Homes,Rick carver,Man,41,173,22.29
154,99 Homes,Lynn,Woman,48,71,9.15
